type,cores,ram,nets,ipsPerNet,lbs,lbsSize,nbsMbs,netMbs
"t2.nano",1,0.5,2,2,,,0,"Low"
"t2.micro",1,1,2,2,,,0,"Low to Moderate"
"t2.small",1,2,2,4,,,0,"Low to Moderate"
"t2.medium",2,4,3,6,,,0,"Low to Moderate"
"t2.large",2,8,3,12,,,0,"Low to Moderate"
"t2.xlarge",4,16,3,15,,,0,"Moderate"
"t2.2xlarge",8,32,3,15,,,0,"Moderate"
"m5.large",2,8,3,10,,,2120,"High"
"m5.xlarge",4,16,4,15,,,2120,"High"
"m5.2xlarge",8,32,4,15,,,2120,"High"
"m5.4xlarge",16,64,8,30,,,2120,"High"
"m5.12xlarge",48,192,8,30,,,5000,"10 Gigabit"
"m5.24xlarge",96,384,15,50,,,10000,"25 Gigabit"
"m5d.large",2,8,3,10,1,75,2120,"High"
"m5d.xlarge",4,16,4,15,1,150,2120,"High"
"m5d.2xlarge",8,32,4,15,1,300,2120,"High"
"m5d.4xlarge",16,64,8,30,2,300,2120,"High"
"m5d.12xlarge",48,192,8,30,2,900,5000,"10 Gigabit"
"m5d.24xlarge",96,384,15,50,4,900,10000,"25 Gigabit"
"m4.large",2,8,2,10,,,450,"Moderate"
"m4.xlarge",4,16,4,15,,,750,"High"
"m4.2xlarge",8,32,4,15,,,1000,"High"
"m4.4xlarge",16,64,8,30,,,2000,"High"
"m4.10xlarge",40,160,8,30,,,4000,"10 Gigabit"
"m4.16xlarge",64,256,8,30,,,10000,"25 Gigabit"
"c5.large",2,4,3,10,,,2250,"Up to 10 Gbps"
"c5.xlarge",4,8,4,15,,,2250,"Up to 10 Gbps"
"c5.2xlarge",8,16,4,15,,,2250,"Up to 10 Gbps"
"c5.4xlarge",16,32,8,30,,,2250,"Up to 10 Gpbs"
"c5.9xlarge",36,72,8,30,,,4500,"10 Gigabit"
"c5.18xlarge",72,144,15,50,,,9000,"25 Gigabit"
"c5d.large",2,4,3,10,1,50,2250,"Up to 10 Gbps"
"c5d.xlarge",4,8,4,15,1,100,2250,"Up to 10 Gbps"
"c5d.2xlarge",8,16,4,15,1,200,2250,"Up to 10 Gbps"
"c5d.4xlarge",16,32,8,30,1,400,2250,"Up to 10 Gbps"
"c5d.9xlarge",36,72,8,30,1,900,4500,"10 Gigabit"
"c5d.18xlarge",72,144,15,50,2,900,9000,"25 Gigabit"
"c4.large",2,3.75,3,10,,,500,"Moderate"
"c4.xlarge",4,7.5,4,15,,,750,"High"
"c4.2xlarge",8,15,4,15,,,1000,"High"
"c4.4xlarge",16,30,8,30,,,2000,"High"
"c4.8xlarge",36,60,8,30,,,4000,"10 Gigabit"
"x1.16xlarge",64,976,8,30,1,1920,7000,"10 Gigabit"
"x1.32xlarge",128,1952,8,30,2,1920,14000,"25 Gigabit"
"x1e.xlarge",4,122,3,10,1,120,500,"Up to 10 Gigabit"
"x1e.2xlarge",8,244,4,15,1,240,1000,"Up to 10 Gigabit"
"x1e.4xlarge",16,488,4,15,1,480,1750,"Up to 10 Gigabit"
"x1e.8xlarge",32,976,4,15,1,960,3500,"Up to 10 Gigabit"
"x1e.16xlarge",64,1952,8,30,1,1920,7000,"10 Gigabit"
"x1e.32xlarge",128,3904,8,30,2,1920,14000,"25 Gigabit"
"r4.large",2,15.25,3,10,,,425,"Up to 10 Gigabit"
"r4.xlarge",4,30.5,4,15,,,850,"Up to 10 Gigabit"
"r4.2xlarge",8,61,4,15,,,1700,"Up to 10 Gigabit"
"r4.4xlarge",16,122,8,30,,,3500,"Up to 10 Gigabit"
"r4.8xlarge",32,244,8,30,,,7000,"10 Gigabit"
"r4.16xlarge",64,488,15,50,,,14000,"25 Gigabit"
"p3.2xlarge",8,61,4,15,,,1750,"Up to 10 Gigabit"
"p3.8xlarge",32,244,8,30,,,7000,"10 Gigabit"
"p3.16xlarge",64,488,8,30,,,14000,"25 Gigabit"
"p2.xlarge",4,61,4,15,,,750,"High"
"p2.8xlarge",32,488,8,30,,,5000,"10 Gigabit"
"p2.16xlarge",64,732,8,30,,,10000,"25 Gigabit"
"g3.4xlarge",16,122,8,30,,,3500,"Up to 10 Gigabit"
"g3.8xlarge",32,244,8,30,,,7000,"10 Gigabit"
"g3.16xlarge",64,488,15,50,,,14000,"25 Gigabit"
"f1.2xlarge",8,122,4,15,1,470,1700,"Up to 10 Gigabit"
"f1.16xlarge",64,976,8,50,4,940,14000,"25 Gigabit"
"h1.2xlarge",8,32,4,15,1,2000,1750,"Up to 10 Gigabit"
"h1.4xlarge",16,64,8,30,2,2000,3500,"Up to 10 Gigabit"
"h1.8xlarge",32,128,8,30,4,2000,7000,"10 Gigabit"
"h1.16xlarge",64,256,15,50,8,2000,14000,"25 Gigabit"
"i3.large",2,15.25,3,10,1,475,425,"Up to 10 Gigabit"
"i3.xlarge",4,30.5,4,15,1,950,850,"Up to 10 Gigabit"
"i3.2xlarge",8,61,4,15,1,1900,1700,"Up to 10 Gigabit"
"i3.4xlarge",16,122,8,30,2,1900,3500,"Up to 10 Gigabit"
"i3.8xlarge",32,244,8,30,4,1900,7000,"10 Gigabit"
"i3.16xlarge",64,488,15,50,8,1900,14000,"25 Gigabit"
"i3.metal","72",512,15,50,8,1900,10000,"25 Gigabit"
"d2.xlarge",4,30.5,4,15,3,2000,750,"Moderate"
"d2.2xlarge",8,61,4,15,6,2000,1000,"High"
"d2.4xlarge",16,122,8,30,12,2000,2000,"High"
"d2.8xlarge",36,244,8,30,24,2000,4000,"10 Gigabit"
