generation,line,name,type,share,cores,ram,netMbpsSla,netMbps,nbsMbsSla,nbsMbs,nets,ipPerNet,lbs,lbsGb,lbsType
"current","Compute Optimized","C4","c4.8xlarge",100,36,60,"strict",10000,"strict",4000,8,1,0,0,"None"
"current","Compute Optimized","C4","c4.xlarge",100,4,7.5,"upto",1000,"strict",750,4,1,0,0,"None"
"current","Compute Optimized","C4","c4.large",100,2,3.75,"upto",100,"strict",500,3,1,0,0,"None"
"current","Compute Optimized","C4","c4.4xlarge",100,16,30,"upto",1000,"strict",2000,8,1,0,0,"None"
"current","Compute Optimized","C4","c4.2xlarge",100,8,15,"upto",1000,"strict",1000,4,1,0,0,"None"
"current","Compute Optimized","C5","c5d.4xlarge",100,16,32,"upto",10000,"strict",2250,8,1,1,400,"nvme"
"current","Compute Optimized","C5","c5d.xlarge",100,4,8,"upto",10000,"upto",2250,4,1,1,100,"nvme"
"current","Compute Optimized","C5","c5.2xlarge",100,8,16,"upto",10000,"upto",2250,4,1,0,0,"None"
"current","Compute Optimized","C5","c5.9xlarge",100,36,72,"strict",10000,"strict",4500,8,1,0,0,"None"
"current","Compute Optimized","C5","c5d.large",100,2,4,"upto",10000,"upto",2250,3,1,1,50,"nvme"
"current","Compute Optimized","C5","c5d.9xlarge",100,32,72,"strict",10000,"strict",4500,8,1,1,900,"nvme"
"current","Compute Optimized","C5","c5d.18xlarge",100,72,144,"strict",25000,"strict",9000,15,1,2,900,"nvme"
"current","Compute Optimized","C5","c5.4xlarge",100,16,32,"upto",10000,"strict",2250,8,1,0,0,"None"
"current","Compute Optimized","C5","c5.xlarge",100,4,8,"upto",10000,"upto",2250,4,1,0,0,"None"
"current","Compute Optimized","C5","c5.18xlarge",100,72,144,"strict",25000,"strict",9000,15,1,0,0,"None"
"current","Compute Optimized","C5","c5.large",100,2,4,"upto",10000,"upto",2250,3,1,0,0,"None"
"current","Compute Optimized","C5","c5d.2xlarge",100,8,16,"upto",10000,"upto",2250,4,1,1,200,"nvme"
"current","Storage","D2","d2.xlarge",100,4,30.5,"upto",5000,"strict",750,4,1,3,2000,"hdd"
"current","Storage","D2","d2.2xlarge",100,8,61,"upto",10000,"strict",1000,4,1,6,2000,"hdd"
"current","Storage","D2","d2.8xlarge",100,36,244,"strict",10000,"strict",4000,8,1,24,2000,"hdd"
"current","Storage","D2","d2.4xlarge",100,16,122,"upto",10000,"strict",2000,8,1,12,2000,"hdd"
"current","Compute","F1","f1.2xlarge",100,8,122,"upto",10000,"strict",1700,4,1,1,470,"ssd"
"current","Compute","F1","f1.16xlarge",100,64,976,"strict",25000,"strict",14000,8,1,4,940,"ssd"
"current","Compute","G3","g3.4xlarge",100,16,122,"upto",10000,"strict",3500,8,1,0,0,"None"
"current","Compute","G3","g3.8xlarge",100,32,244,"strict",10000,"strict",7000,8,1,0,0,"None"
"current","Compute","G3","g3.16xlarge",100,64,488,"strict",25000,"strict",14000,15,1,0,0,"None"
"current","Storage","H1","h1.4xlarge",100,16,64,"upto",10000,"strict",3500,8,1,2,2000,"hdd"
"current","Storage","H1","h1.16xlarge",100,64,256,"strict",25000,"strict",14000,15,1,8,2000,"hdd"
"current","Storage","H1","h1.8xlarge",100,32,128,"strict",10000,"strict",70000,8,1,4,2000,"hdd"
"current","Storage","H1","h1.2xlarge",100,8,32,"upto",10000,"strict",1750,4,1,1,2000,"hdd"
"current","Storage","I3","i3.2xlarge",100,8,61,"upto",10000,"strict",1700,4,1,1,1900,"nvme"
